2,7.5,2.78
5,42.6,1.43
7,37.8,1.65
15,2.5,4.68
19,4.8,4.73
21,17.8,1.45
24,37.8,1.73
26,6.6,2.87
27,22.4,1.46
28,1.3,5.23
29,35.9,1.73
30,35.7,2.08
32,23.6,1.41
36,40.7,1.88
39,12.8,1.85
40,7.1,3.41
41,36.2,2.62
42,29.6,1.42
45,6.1,3.16
47,1.8,3.54
50,19.1,1.35
51,11.3,2.07
52,22.6,1.29
53,1.4,4.28
57,5.5,2.15
58,8.2,2.25
60,43.3,1.78
63,0.8,6.89
64,2.8,5.25
66,55.4,1.86
72,21.1,1.33
73,22.9,1.52
76,1.5,4.62
78,1.4,4.83
80,11.5,2.23
82,30.1,1.48
84,40.9,1.88
85,54.8,1.54
86,5.1,2.68
88,1.7,4.95
90,15.3,2.08
92,1.5,5.97
93,37.3,1.59
