3,1,1742,105000
4,2,4520,229000
3,1,986,30000
3,2,1550,73750
2,2,1152,95000
4,3,3310,205000
3,4,2828,309900
4,2,1690,112500
4,3,4144,336000
2,2,952,78000
2,2,2624,214500
3,1,1396,35000
4,3,2334,99500
2,1,856,50000
3,4,3027,272000
2,2,1564,210000
4,3,3935,399900
3,2,1764,105000
3,2,3137,207000
3,1,1288,25000
3,3,1586,99900
3,2,1536,99900
3,4,2833,170000
5,2,2352,75000
2,1,1028,39600
3,2,1268,62000
2,1,864,60000
4,2,2548,134900
4,3,2662,182500
3,2,1335,130000
3,2,1146,109000
3,3,4242,365000
2,1,1045,65900
3,2,1904,138000
4,2,1606,75054
4,2,960,104900
2,1,800,28750
2,1,1242,23000
2,1,2066,96000
2,2,970,55000
1,1,1080,37750
2,1,896,79000
3,2,1352,115000
4,2,1900,60000
3,2,3176,215500
3,1,1332,52155
4,3,3182,200000
3,1,1502,97900
3,1,990,33850
4,4,3141,242085
5,3,2939,220000
5,3,3084,128000
3,2,1485,147500
4,2,1984,165000
3,2,1582,49500
3,2,3078,193900
6,2,2160,113000
4,3,2508,86900
2,2,922,43000
3,2,1918,60000
2,1,656,32000
4,2,2829,53000
3,1,1512,59400
2,1,1011,88500
2,1,1480,52000
4,3,2656,290000
3,2,1784,82000
4,3,3122,122800
5,4,4387,325000
5,3,2576,156000
3,2,1550,94100
4,3,2188,130000
1,1,3200,90000
2,1,1630,30000
4,2,2622,185000
2,2,1204,232500
2,1,697,37000
4,3,2606,187000
4,2,1694,12000
4,1,1549,132000
4,2,1578,96000
4,3,1862,160000
5,2,2380,136000
4,3,1889,155000
4,3,2280,164900
3,1,1152,44000
5,3,6280,411000
2,1,920,94000
5,3,3510,197500
4,2,3172,126101
4,2,1852,127500
4,3,4542,420000
4,3,2510,145000
3,1,1056,65000
3,2,1528,65000
3,1,1954,83900
2,2,1366,146500
2,1,910,17200
3,2,1920,87700
3,2,2948,150000
4,2,1860,27900
4,2,1657,100000
2,1,808,38750
2,1,2100,162250
3,1,1485,85000
4,1,1248,80000
4,1,1652,91900
3,3,2281,206000
4,1,1820,30200
2,2,1168,32500
2,1,735,65000
4,4,4039,331500
4,1,1678,33500
2,1,1344,73000
2,1,1352,37000
3,2,1551,103000
4,3,2474,120000
2,1,1472,35000
3,3,2168,109000
6,2,3027,45000
3,3,3824,262000
5,2,2078,32000
4,2,2589,146000
3,2,1404,147500
4,3,2730,189000
4,3,2902,39900
2,1,773,32500
3,2,3684,219900
1,1,755,30000
3,4,4744,335000
4,3,3486,198000
4,3,1998,123500
5,3,3306,284530
4,2,1624,94200
2,1,768,65250
3,3,1823,231300
5,3,3752,285000
2,1,816,57000
3,1,1380,52500
4,3,2837,225500
3,2,1377,40100
5,3,2312,162000
2,2,1474,42000
4,3,2754,192900
3,2,1050,44500
5,3,3284,182000
2,2,1203,53000
3,2,1632,108000
5,3,2828,199000
4,3,2552,225900
3,2,2424,183000
3,2,1288,122000
5,3,2184,79000
4,3,3632,230000
2,1,680,50000
2,1,1540,60000
3,1,1903,62000
2,2,1539,83000
4,2,2217,110500
6,4,3498,279900
3,2,1484,170000
3,2,1768,40000
3,2,1766,175000
3,2,1666,90000
3,1,2112,109000
3,2,3231,170000
1,1,560,21500
3,1,1656,105000
2,1,960,72000
4,2,3138,260000
3,1,1000,91500
2,1,918,32000
5,3,3613,259000
4,2,2459,145000
3,2,1855,117000
3,2,1417,118000
4,4,5144,475000
3,2,1920,82000
1,1,588,23700
2,1,600,13900
3,2,1852,103500
1,1,930,45000
1,1,770,21500
2,2,1080,122000
3,3,1363,130000
2,2,1600,90000
1,1,768,22250
2,1,768,50000
2,1,2020,77500
4,2,2087,52000
3,1,925,65000
2,1,1728,134500
2,1,980,32500
2,1,1708,50000
4,3,2400,140000
3,2,1654,73000
6,2,2496,157000
4,4,2248,173000
5,3,2377,150000
2,1,1104,30000
3,2,1172,92000
3,1,960,77000
3,2,1545,174000
3,2,1256,94800
3,1,864,42000
2,1,840,18000
3,2,2000,129000
5,3,2416,145000
3,2,1537,165000
3,3,1568,137000
2,1,992,15199
3,2,3672,291000
2,1,1044,105000
3,2,2627,145530
3,1,1417,99000
3,2,1596,75000
3,2,1216,37500
3,2,1521,103000
2,1,1961,110000
3,1,1120,50000
4,2,1224,74850
3,2,1331,122900
1,1,1176,15000
3,2,1966,89900
2,1,1456,55000
3,2,1310,132500
3,2,2979,180000
